	conditionID	loglik_test	model	lmax	nmixt	ncat	dof
0	cond01	-1028629.3809522786	mmm	2	-1	1	6
1	cond02	-951098.3349883879	mmm	2	-1	2	15
2	cond03	-928182.9617285696	mmm	2	-1	3	26
3	cond04	-918836.5299828659	mmm	2	-1	4	39
4	cond05	-915006.152191088	mmm	2	-1	5	54
5	cond06	-913551.6647773997	mmm	2	-1	6	71
6	cond07	-956795.700638157	mirage	2	3	-1	20
7	cond08	-947826.6555650437	mirage	2	5	-1	34
8	cond09	-943847.030049654	mirage	2	7	-1	48
9	cond10	-941450.9703261863	mirage	2	9	-1	62
10	cond11	-940164.8702430998	mirage	2	11	-1	76
11	cond12	-966902.4929421522	branch	2	-1	-1	826
12	cond13	-1214901.5776940146	mmm	3	-1	1	9
13	cond14	-1113260.1084105887	mmm	3	-1	2	21
14	cond15	-1085761.9607253235	mmm	3	-1	3	35
15	cond16	-1074298.7265805076	mmm	3	-1	4	51
16	cond17	-1068527.0342706442	mmm	3	-1	5	69
17	cond18	-1065660.0603745445	mmm	3	-1	6	89
18	cond19	-1116550.2139957095	mirage	3	3	-1	29
19	cond20	-1106137.889733428	mirage	3	5	-1	49
20	cond21	-1101061.9131157666	mirage	3	7	-1	69
21	cond22	-1098130.2206696284	mirage	3	9	-1	89
22	cond23	-1134083.8011570927	branch	3	-1	-1	1239
